date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:01	48373/48373	---M--	200	added ('OK')	image/png	etag:%22c9a6711d471da4b756cf7389c8dc360a-ssl%22	https://basecola.com/coinbase.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/coinbase.png	(from https://basecola.com/)
13:46:05	116899/116899	---M--	200	added ('OK')	image/png	etag:%22f56619f56b0975412078e8d1dad06bde-ssl%22	https://basecola.com/onchain.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/onchain.png	(from https://basecola.com/)
13:46:07	134406/134406	---M--	200	added ('OK')	image/png	etag:%222141bc876c042d9e69e8bbb9e6edd8fa-ssl%22	https://basecola.com/cocacola.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/cocacola.png	(from https://basecola.com/)
13:46:07	16727505/16727505	---M--	200	added ('OK')	video/mp4	etag:%22f82e29ead13584eb8b07396747ae8bc5-ssl%22	https://basecola.com/videocola.mp4	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/videocola.mp4	(from https://basecola.com/)
13:46:08	14426/14426	---M--	200	added ('OK')	image/png	etag:%22f23bff3d9f2696e94d2e31eb6f6655d9-ssl%22	https://basecola.com/iconoTick.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/iconoTick.png	(from https://basecola.com/)
13:46:10	180803/180803	---M--	200	added ('OK')	image/png	etag:%22ed0ebb1d3f75b9886a44aaad586e9021-ssl%22	https://basecola.com/reunion.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/reunion.png	(from https://basecola.com/)
13:46:12	80484/80484	---M--	200	added ('OK')	image/png	etag:%226113b2ee26bfcd1ece9c6d2f8dc454b5-ssl%22	https://basecola.com/toshi-cola.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/toshi-cola.png	(from https://basecola.com/)
13:46:14	100568/100568	---M--	200	added ('OK')	image/png	etag:%2200a7c5642181a55acf38066f51399724-ssl%22	https://basecola.com/mochi-cola.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/mochi-cola.png	(from https://basecola.com/)
13:46:15	19632/19632	---M--	200	added ('OK')	image/png	etag:6d83c19cd65e426644c91ef10c850099	https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Telegram_logo.svg/480px-Telegram_logo.svg.png	C:/Users/USER/Desktop/NEWGMI/NEWGMI/upload.wikimedia.org/wikipedia/commons/thumb/8/82/Telegram_logo.svg/480px-Telegram_logo.svg.png	(from https://basecola.com/)
13:46:17	75519/75519	---M--	200	added ('OK')	image/jpeg	etag:%22eb752e1e45b62feff1ef2b14d4bb4ec4%22	https://img.freepik.com/premium-vector/new-twitter-logo-x-2023-twitter-x-logo-vector-download_691560-10809.jpg?w=2000	C:/Users/USER/Desktop/NEWGMI/NEWGMI/img.freepik.com/premium-vector/new-twitter-logo-x-2023-twitter-x-logo-vector-download_691560-108098a23.jpg	(from https://basecola.com/)
13:46:19	99691/99691	---M--	200	added ('OK')	image/jpeg	etag:%225acba0b49e6e11b27c3cc5bac79656ae%22	https://img.freepik.com/fotos-premium/fondo-abstracto-playa-paisaje-marino-desenfoque-bokeh-luz-mar-calma-cielo_1484-1989.jpg?w=996	C:/Users/USER/Desktop/NEWGMI/NEWGMI/img.freepik.com/fotos-premium/fondo-abstracto-playa-paisaje-marino-desenfoque-bokeh-luz-mar-calma-cielo_1484-1989e303.jpg	(from https://basecola.com/_next/static/css/c14bd87d2a6e6c39.css)
13:46:20	12030/12030	---MCZ	200	added ('OK')	text/css	etag:%225abfa6e69d4944c494f3502a16c0f394-ssl-df%22	https://basecola.com/_next/static/css/aca5deede9db69aa.css	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/css/aca5deede9db69aa.css	(from https://basecola.com/dapp)
13:46:22	284516/284516	---MCZ	200	added ('OK')	application/javascript	etag:%22e78f8f116658d56d33733b562968fe05-ssl-df%22	https://basecola.com/_next/static/chunks/21ba0457-21aebaf8fea3e643.js	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/chunks/21ba0457-21aebaf8fea3e643.js	(from https://basecola.com/dapp)
